,device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price
0,Honor,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,861.5144898000001
1,Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,1032.4193294000002
2,Honor,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,1022.216753
3,Honor,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,1027.0773176
4,Honor,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,877.9989608
5,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,882.7777216
6,Honor,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,775.651875
7,Honor,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,945.8842296
8,Honor,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,977.2108407999999
9,Honor,Android,16.23,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,954.6447542
10,Honor,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,853.407314
11,Honor,Android,15.32,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,931.4766113999999
12,Honor,Android,16.69,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,1076.6511526
13,Honor,Android,15.32,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,923.5185412
14,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,822.2731094000001
15,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,882.2442586
16,Honor,Android,15.9,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,1004.4732434
17,Honor,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,955.4040885999999
18,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,849.7276178
19,Honor,Android,25.43,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,853.5755225999999
20,Honor,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,911.2590036
21,Others,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,890.4271100000001
22,HTC,Android,15.29,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,912.1600476
23,HTC,Android,12.88,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,919.1249546
24,HTC,Android,15.29,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,885.3043749999999
25,HTC,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,1042.6934577999998
26,HTC,Android,15.29,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,927.3337706
27,Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,981.0993952
28,Huawei,Android,15.37,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,964.0885686
29,Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,915.5803518000001
30,Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,974.5656214
31,Huawei,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,834.1067402
32,Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,941.8880214
